"козёл","male-goat, billy-goat; Asshole"
"воню́чий","smelly"
"бли́жний","near, neighbouring, nearest, closest"
"траги́ческий","tragic adj"
"интеллектуа́льный","intellectual"
"мину́тка","minute, moment"
"возбужде́ние","excitation, excitement, agitation, incitement"
"отста́вка","dismissal or resignation"
"бро́нзовый","bronzed, tanned"
"случа́йность","chance, fortuity, fortuitousness"
"жи́во","vividly, strikingly, keenly, with animation, quick, promptly"
"заве́дующий","manager; head (boss, director)"
"кпсс","CPSU"
"наста́ть","for a time or event to arrive"
"пра́ктик","practical worker, practical person"
"вы́езд","a depature; the action of departing or leaving"
"са́ло","fat, suet, lard, tallow, thin broken ice"
"прика́зывать","to order someone"
"нараста́ть","to build up/accrue"
"ма́лость","trifle, somewhat, a bit"
"инсти́нкт","instinct"
"объявля́ть","to declare"
"налива́ть","to pour or fill up; to pour onto something"
"сомни́тельный","questionable; doubtful"
"бето́нный","concrete"
"ка́тер","boat that can be easily launched and landed"
"съе́здить","to go (ride); trip, visit"
"северо","North"
"пятьсо́т","five hundred"
"прогно́з","forecast, prognosis"
"дежу́рить","be on duty"
"попроща́ться","to say goodbye"
"изумру́дный","emerald"
"про́чный","durable, lasting, solid, firm, strong; sturdy"
"ви́ски","whisky"
"фиоле́товый","violet, purple"
"маги́ческий","magic (adj)"
"механи́ческий","mechanical, power-driver, automatic"
"се́ктор","sector, department"
"прихвати́ть","grab or take"
"вино́вный","guilty"
"мёд","honey, mead"
"разма́х","a swing/wingspan"
"непра́вда","untruth, falsehood, lie"
"возвраща́ть","return, give back, bring back, send back; repay, pay back, reimburse, refund; recover, get back, win back"
"пято́к","heel, toe"
"посеще́ние","visit, attendance"
"попола́м","half-and-half; in half (in two), "
"насме́шливо","derisively"
"демонстри́ровать","demonstrate"
"аге́нтство","agency"
"слу́шатель","hearer, listener, student, audience, auditory"
"затяну́ться","drag on; take a drag of ciggarette"
"ко́декс","code, codex"
"коса́","hair braid, scythe"
"коса́","scythe"
"удовлетвори́ть","to satisfy"
"аккура́тный","neat; accurate, exact in accordance with rules"
"собо́р","cathedral, council, synod"
"толь","tar paper"
"восстановле́ние","restoration or recovery"
"чудо́вище","monster"
"прила́вок","counter"
"оправда́ть","justify, warrant, excuse; acquit, discharge"
"подели́ться","share"
"пе́сенка","song, ditty"
"разделя́ть","divide, separate, part, split; share"
"сла́вка","songbird, warbler"
"восемна́дцать","eighteen"
"ста́лкер","stalker (persistant follower), unwanted follower, ; someone who is good in navigating off-limit places"
"у́грюмый","grumpy / moody, morose; gloomy"
"подавля́ть","suppress, repress, quell, put down, restrain, stifle, neutralize, depress, crush, overwhelm"
"вы́годный","advantageous, beneficial"
"то́пливо","fuel"
"убежда́ть","to convince or persuade"
"гли́на","clay"
"огля́дывать","to look over/examine/look all around something"
"почти́тельный","respectful, deferential, considerable"
"располага́ть","have, dispose, have available, intend, propose, set, gain, win over"
"уда́чный","lucky/good/successful (adj)"
"объя́тие","embrace/cuddle/hug"
"фона́рик","flashlight"
"мучи́тельно","excruciatingly"
"па́зуха","bosom, sinus, axil"
"доро́жный","(relational) road, ; (relational) travelling"
"обнима́ть","to embrace, to hug"
"эшело́н","echelon, special train, troop train"
"ир","Ir river; Il, a part of the name Kim Il-sung"
"буди́ть","wake, awake, awaken, arouse, stir up"
"распахну́ться","swing open"
"обходи́ться","do without без; cost; treat с; to turn out some way"
"сохране́ние","preservation"
"осуществи́ть","carry out, bring about, fulfil, accomplish, put into practice, implement; make something come true"
"испу́ганный","frightened, scared, startled"
"отки́нуть","throw away, throw back"
"листва́","foliage; leaves"
"разде́л","section"
"уса́дьба","manor or estate"
"неда́ром","not for nothing, not without reason, not without purpose"
"зли́ться","to be angry"
"про́пуск","skipping; permit/pass"
"аналоги́чный","analogous; similar"
"вы́прямиться","straighten up"
"газе́тный","newspaper"
"мыть","wash"
"обвиня́ть","Blame"
"сажа́ть","plant; put"
"мора́ль","moral, moral philosophy, ethics, morals"
"верте́ться","turn, revolve, spin, fidget, dodge, prevaricate, hover about"
"челове́чек","little man"
"суста́в","joint, articulation"
"не́жность","tenderness delicacy gentleness"
"поража́ть","strike/hit/affect"
"комсомо́лец","member of the Komsomol, member of the Young Communist League, Young Communist Leaguer"
"пострада́ть","to be injured; to come to harm; to suffer"
"осложне́ние","complication"
"мучи́тельный","excruciating"
"свяще́нный","sacred, holy"
"предприня́ть","to undertake"
"ми́тинг","mass-meeting or rally"
"дрожь","tremble/shiver/tremor"
"месте́чко","little place; small town; dimunitive of место"
"рассы́паться","to be scattered apart, scamper off, go to pieces, crumble, (colloquial) fawn upon"
"рассыпа́ться","spill, scatter, scamper off, go to pieces, crumble"
"проти́вно","against; disgusting"
"ле́нинский","Lenin"
"связа́ть","connect; to knit"
"креди́т","credit; loan"
"кре́дит","credit"
"весть","news"
"стро́иться","be built, build a house for oneself, draw up, build"
"ба́бочка","butterfly, bow-tie, dicky-tie"
"сня́той","skimmed, skim; removed / taken (off), filmed"
"сосла́ться","to refer/quote, allude, cite, call to witness, plead, allege"
"уще́лье","gorge, ravine, canyon"
"строи́тельный","building construction"
"вы́бежать","run out"
"ветера́н","veteran, old stager"
"ша́хта","mineshaft"
"отодви́нуть","move aside; put off"
"разбира́ть","sort out, solucionar, make out, dar a entender, figure out, averiguar, understand; take apart, desmontar, take to pieces, desmontar, disassamble, dismantle, desmantelar"
"вс","Sunday; Supreme Soviet; Armed Forces; virtual connection"
"трево́жно","anxiously"
"сы́тый","be satisfied; being full"
"бесконе́чно","infinitely, extremely, endlessly, without end, eternally"
"ноздря́","nostril"
"ви́димость","visibility, outward appearances, semblance"
"пита́ться","eat (to feed on); nourish (refers to the ability to obtain and absorb substances necessary to maintain life)"
"свети́ло","a celestial body that emits light; someone who is famous in their field"
"вскрича́ть","exclaim"
"вы́хватить","snatch out"
"потряса́ть","to shake; to shock (emotionally)"
"встре́чный","oncoming (adj)"
"едини́ца","unit, unity; one (numeral, grade), few (not many)"
"пы́шный","fluffy magnificent lush"
"разводи́ть","breed; raise; take along, bring, conduct; part, move apart, pull, apart, separate; dissolve"
"звёздный","star, sidereal, starry, starlit, converging, stellar"
"три́жды","three times"
"сло́жность","complicacy (complexity), complication; difficulty, sophistication"
"воспи́тывать","raise bring up (kids)"
"беспла́тный","free, gratuitous, rent-free"
"вдова́","widow"
"идеологи́ческий","ideological"
"изли́шний","unneccesary"
"пя́теро","five"
"берёза","birch"
"ва́ленок","felt boot"
"предвари́тельный","preliminary"
"позо́р","shame; disgrace"
"фонта́н","fountain"
"зати́хнуть","to quiet; calm down"
"бес","demon, devil, tempter"
"оригина́льный","original"
"ту́склый","dim"
"пе́пел","ash"
"цепля́ться","to cling to/to pick on"
"при́зрак","phantom, apparition, spook, ghost"
"восхище́ние","admiration"
"бу́рый","brown"
"возникнове́ние","origin, beginnings; emergence, onset, occurrence"
"стра́жа","guard or watch; taken under arrest (expression)"
"паренёк","lad, boy, chap, bloke"
"предъяви́ть","show; present; produce"
"алкого́ль","alcohol, spirit"
"ранг","class, rank"
"зла́то","gold (outdated)"
"посеща́ть","visit"
"сиони́стский","Zionist, Zionistic"
"просиде́ть","to sit through"
"а́хнуть","gasp"
"удаля́ться","to leave, to depart"
"поздравля́ть","congratulate"
"чу́ять","to sense, to feel; to smell, to scent"
"дёргать","to pull / tug / pull out, to pull about, to move sharply, to jerk, to twitch; to pull on someone's nerves, to pester, to disturb; (low colloquial) to drink, to knock one back"
"наме́ренный","intentional deliberate"
"горячо́","hotly, with heat, warmly, with warmth"
"то́ненький","thin, slender, slim"
"уничтожа́ть","destroy"
"сою́зник","ally, associate"
"жи́вопись","painting, pictures, paintings"
"парла́мент","parliament"
"ху́дший","(the) worst, worse; (most) inferior"
"сму́глый","dark skinned"
"семе́йство","family"
"негр","black person; помесь негра с мотоциклом  - absurd combination; литературный негр - ghost writer"
"разыска́ть","to look for (wanted)"
"по́черк","handwriting"
"колле́кция","collection"
"моли́тва","Prayer"
"ритм","rhythm"
"ста́я","a flock; a pack"
"блин","pancake; damn"
"расстава́ться","to part/leave/separate/break up"
"вне́шне","outwardly in outward appearance"
"ишь","see!, (just) look!"
"загна́ть","to corner, trap"
"А́зия","Asia"
"пересе́чь","to move across/traverse across"
"подру́жка","girlfriend"
"изра́ильский","Israeli"
"сро́чный","urgent, at a fixed date, fixed-date"
"пиани́стка","pianist"
"разво́д","divorce"
"кру́то","super cool"
"ограни́ченный","limited"
"смути́ться","be embarrassed"
"реализа́ция","realization, sale, realisation; Implementing"
"про́бка","traffic; cork"
"ми́ска","bowl, basin, tureen"
"пан","pan (sir), landowner"
"раздави́ть","crush, squash, overwhelm"
"юриди́ческий","juridical, legal, juristic"
"пенсионе́р","pensioner"
"подводно́й","underwater"
"утверди́ть","to claim, affirm, assert, maintain"
"шо́рох","rustle"
"горшо́к","pot"
"незначи́тельный","insignificant"
"невероя́тно","it is incredible, it is inconceivable, it is beyond belief, incredibly, inconceivably"
"ма́тушка","mother / mum (parent); mother (term of address)"
"верху́шка","tip"
"национа́льность","nationality"
"тигр","tiger"
"скла́дка","fold"
"незави́симо","independently"
"вполго́лоса","in an undertone, in a low voice"
"ико́на","icon"
"зака́нчиваться","come to an end close, end, finish"
"артиллери́йский","artillery (adj)"
"распростране́ние","spreading, diffusion, dissemination"
"учёба","study, training, education"
"укра́сить","decorate, adorn, beautify, ornament"
"котёнок","kitten"
"спортсме́н","athlete, sportsman"
"добыва́ть","to mine/extract from earth; to aquire through struggle work/hunt/war/etc"
"серебро́","silver"
"осма́тривать","examine, survey, view, scan, see; inspect; to look around"
"контроли́ровать","control, check, enforce"
"полотно́","canvas"
"пре́лесть","charm; delight; a beauty"
"всеми́рный","world's, worldwide, universal"
"вски́нуть","to raise up (e.g. eyes, arms)"
"помча́ться","to dart rush dash off"
"прете́нзия","claim on something; complaint"
"сраже́ние","battle"
"шевели́ть","to move"
"конфе́та","sweet, bon-bon, sweetmeats, candy"
"растеря́ть","Lose what you have (all or much); Gradually losing someone or something"
"рыво́к","jerk, spurt, dash, burst"
"опроки́нуть","to knock over"
"икра́","caviar"
"послу́шно",""
"погрузи́ть","to submerge, to immerse, to plunge; to load"
"по́тный","sweaty, damp with perspiration"
"дрянь",""
"возврати́ться","return"
"категори́чески","categorically, flatly"
"недово́льно","unhappy, displeased"
"адмира́л","admiral"
"взорва́ться","burst, blow up, explode, fly into a rage"
"обхвати́ть","wrap around or grip"
"распространя́ться","spread, enlarge, expatiate, dilate; to apply, pertain"
"лёгкость","lightness, ; ease /  easiness, "
"сочу́вствие","sympathy"
"скоти́на","brute"
"вскри́кнуть","cry out"
"возглавля́ть","to lead, to head"
"окру́га","neighbourhood"
"табуре́тка","stool"
"Финля́ндия","Finland"
"показа́тель","index, showing, exponent; rate; indicators"
"овца́","sheep"
"бессмы́сленно","senselessly, foolishly"
"отки́нуться","to lean back; to get out, be released; to set aside"
"дружи́ть","befriend, mantener amistad, ser amigos"
"акце́нт","accent, emphasis"
"вражде́бный","hostile"
"заме́тка","Note"
"ро́бко","shyly, timidly"
"отрыва́ть","tear off, tear away, rip off"
"ту́мбочка","bedside-table, chest of drawers, nightstand"
"перебива́ть","interrupt"
"конце́пция","concept, conception, idea"
"увели́чиваться","increase"
"грандио́зный","huge mighty grandiose grand immense vast"
"кида́ть","throw, cast, fling"
"матема́тика","mathematics"
"земля́к","fellow country-man"
"автомоби́льный","automobile, automotive; car, motor-car"
"кра́ткий","brief, short, concise"
"вообража́ть","to imagine; to think of oneself as being higher than reality (used with о себе); to fancy yourself; imagine something that is not real"
"мерца́ть","to twinkle/to shimmer, glimmer, flicker"
"предупрежде́ние","warning"
"земля́нин","terrestrial being, earthling"
"раскали́ть","to heat up (metal)"
"сыр","cheese"
"микрофо́н","microphone, mike"
"поля́на","glade clearing or meadow"
"скользну́ть","slide"
"прити́хнуть","to quiet down, hush, sing small, pipe down"
"поко́йный","deceased, late; quiet, calm"
"назнача́ть","appoint; assign; prescribe"
"автомати́чески","automatically, independently"
"фа́ра","Headlight"
"ри́нуться","to rush/dash/dart"
"особня́к","mansion, detached house"
"сторо́нник","a follower of any views beliefs a person who stands on the side of someone something"
"угрожа́ющий","threatening, menacing, alarming"
"хан","khan"
"немо́й","dumb/mute"
"солда́тик","tin toy soldier"
"верста́","Russian measure of length; (outdated) верстовой столб; (colloquial) about a man of very tall stature; at a great distance"
"коне́чность","limbs"
"стано́к","machine, tool; stand, (work)bench; box / stall (animal husbandry), station, stable"
"брезгли́вый","squeamish"
"буке́т","bouquet, posy, nosegay, bunch of flowers"
"заинтересова́ть","to interest"
"стра́жник","police constable"
"тенде́нция","tendency; trend"
"сбо́рный","assembled, collapsible, combined, rallying"
"адъюта́нт","aide-de-camp, adjutant, aide"
"ви́дение","vision, sight, the ability to see"
"виде́ние","ghost, phantom, apparition, specter, spirit"
"напуга́ть","to frighten; to horrify"
"скома́ндовать","give out an order, order, command"
"подозри́тельно","it is suspicious, suspiciously, with suspicion"
"ра́ция","portable radio transmitter, walkie-talkie"
"вя́ло","limply, listlessly, inertly"
"и́скренний","sincere"
"гре́ческий","Greek, Grecian"
"милице́йский","Adjective of милиция"
"донести́","to carry (as far as), to deliver; to report, announce, inform; to denounce; to inform (on/against), squeal on; to convey"
"плот","raft"
"припо́мнить","to recall/to remember; to get even, to revenge"
"ре́дкость","rarity, curiosity, curio"
"съёмка","shooting (photo or video shoot)"
"разреша́ть","to allow/to permit; resolve, settle"
"нетерпе́ние","impatience"
"схва́тка","skirmish (battle); contractions"
"закуси́ть","bite; have a snack, eat, get a bite; keep one's mouth shut"
"ма́гия","magic, sorcery"
"слюна́","saliva"
"разложи́ть","lay out"
"ворча́ть","grumble, growl, snarl"
"чересчу́р","too; way over, too much"
"покати́ться","start rolling, roll"
"отража́ть","to reflect"
"осуществля́ть","to realize, accomplish, fulfill, put into practice; to carry out, implement; exercise, in terms of rights or control"
"вероя́тность","likelihood, probability"
"наполови́ну","half; halfway"
"вынима́ть","remove, take out, pull out, extract, draw"
"алле́я","alley"
"норови́ть","to strive"
"сосредото́чить","concentrate, fix, focus"
"удостовере́ние","certification"
"отны́не","henceforth, henceforward, from now on"
"и́хний","their"
"открове́нный","frank (adj)"
"куста́рник","thicket of bushes; bush"
"дисципли́на","discipline, branch of science"
"клок","tuft/shred/wisp/ torn shredded off piece of something"
"треть","one third"
"взя́ток","genitive plural of взятка; yield (from bees)"
"уда́чно","successfully, well"
"офо́рмить","apply for; take out; book; to formalize, to register"
"новичо́к","beginner or novice"
"вы́думать","to make up"
"исполни́тель","performer"
"по́мниться","to be remembered"
"нырну́ть","dive"
"опра́вдываться","justify oneself, come true"
"о́бморок","a faint"
"А́фрика","Africa"
"ты́кать","to poke, to stick, to jab; to point (at); to thou, to address so. informally"
"нехоро́ший","bad; evil; haunted"
"певе́ц","singer"
"удивлённый","surprised, amazed, astonished"
"пого́ня","pursuit, chase, pursuers"
"гре́бень","comb, tooth-comb, card, hackle, hatchel; crest"
"соло́ма","straw, thatch, haulm"
"незави́симость","independence"
"пульт","desk, stand; remote control"
"фурго́н","van, estate car, caravan"
"Гру́зия","Georgia"
"ста́ренький","old"
"лило́вый","purple lilac violet"
"почто́вый","post, postal"
"перекрёсток","crossroads, crossing; Intersection"
"треща́ть","to make a cracking sound"
"организа́тор","organizer"
"вы́слать","to send out; to send back: to expel"
"мо́щность","power; capacity ( khả năng, năng xuất)"
"наме́стник","deputy, governor-general"
"станда́ртный","standard"
"бли́зость","intimacy/closeness/proximity"
"фаши́стский","fascist (adj)"
"ка́федра","department or faculty of teachers; pulpit, rostrum, dais"
"рыча́г","lever; leverage"
"террори́ст","terrorist"
"доставля́ть","deliver; give or procure"
"силуэ́т","silhouette"
"смуще́нно","embarrassingly"
"оппози́ция","opposition"
"оце́нивать","to value/to assess; to rate/to evaluate"
"проворча́ть","mutter, grumble"
"соревнова́ние","competition; form of activity struggle rivalry to achieve superiority"
"велича́йший","the greatest, supreme"
"наслажда́ться","enjoy"
"купе́","compartment, couchette, roomette"
"сиони́ст","Zionist"
"ассоциа́ция","association"
"чу́ждый","strange alien or foreign"
"потащи́ть","to drag/to carry, pull, lug, wear, pinch, swipe, pilfer, filch"
"семна́дцать","seventeen"
"черда́к","attic (roof storage, not converted), loft"
"взаи́мный","mutual"
"поддава́ться","give in, yield, give way, fall"
"подста́вить","put, place, move up, put near, substitute, hold up, offer; to frame, set up; (figurative, colloquial) to expose, to leave vulnerable"
"за́просто","(colloquial) Without ceremony without observing all the formalities in public life with ease"
"зрачо́к","pupil"
"поблагодари́ть","thank"
"ску́ка","boredom"
"заде́рживаться","stay long, linger; be delayed"
"му́жество","courage"
"ве́жливый","polite"
"всевозмо́жный","every possible"
"бесполе́зно","it is useless, it is no good, it is of no use, uselessly"
"вме́шиваться","interfere or step in"
"саза́н","carp (fish)"
"о́стро","sharply, sharp, keenly"
"любо́вник","lover"
"са́ни","sleigh"
"и́збранный","select, the elite"
"помести́ть","to place, put, locate, set, bestow; to invest; to insert, publish; to lodge, put up, accommodate"
"разва́лина","wreck, ruin"
"обру́шиться","collapse, befall. assail; descend"
"со́тник","centurion"
"психоло́гия","psychology"
"разли́чие","difference (between)"
"овладе́ть","to take possession of; to master"
"коля́ска","wheelchair, baby stroller"
"чемпио́н","champion, title-holder"
"ту́пик","puffin"
"тупи́к","dead end"
"утону́ть","to drown"
"мы́слить","to think (in a poetic sense); to ponder/to contemplate"
"ку́ра","chicken; chicken meat"
"акти́вность","activity"
"по́лзать","to crawl"
"аудито́рия","auditorium, lecture-hall, lecture-room, audience; audience"
"посели́ться","to settle somewhere/to live"
"компози́тор","composer"
"напада́ть","to attack"
"напа́дать","attack, assault, come, fall"
"бытово́й","everyday ordinary household (adj)"
"лави́на","avalanche, snow-slip"
"шёлковый","silk, silken"
"грусть","melancholy / sadness, sorrow"
"приподня́ться","to get up/ to sit up"
"даба́","daba -> Chinese woven fabric (made from paper or cotton)"
"заверши́ть","complete"
"держа́ва","(world) power, state, orb"
"чушь","nonsense, rubbish"
"мат","checkmate, mate (chess); mat, floor-mat; matte (finish), frost (glass); foul language, swearing"
"побли́зости","nearby"
"ля","The musical note A"
"су́дорожно","spasmodically"
"Кана́да","Canada"
"тре́нер","trainer, coach"
"о́вощ","vegetable"
"входно́й","entrance"
"наложи́ть","to put on, lay, apply sthg. to, overlay, impose, cast"
"помаха́ть","wave"
"комсомо́л","Young Communist League"
"цикл","cycle, series"
"справедли́во","fair, right, correct"
"парни́шка","lad, boy"
"выбра́сывать","throw away; release; to emit, to eject"
"компью́терный","computer, software"
"сти́снуть","to bite/clench"
"пре́данный","devoted; betrayed"
"сле́дственный","investigation, investigatory"
"тверди́ть","reiterate"
"медсестра́","nurse"
"сда́ться","give up"
"наводи́ть","to direct; наводить поярдок/страх/мосты; build; наводить тень на плетень"
"экземпля́р","copy, specimen"
"пла́вно","smoothly (in a smooth manner)"
"солёный","salt"
"зака́нчивать","finish, end"
"снести́","demolish; knock down; tear down; to lay (eggs); to endure, put up with"
"я́зва","ulcer, sore, evil, pest, viper"
"плена́","skin / (thin) film; Surface defects of castings (oxide spots, surficial casting inhomogeneities)"
"постро́йка","a construction"
"ныть","to whine, whimper, complain moan"
"руби́ть","to chop; to cut; to split"
"сиби́рский","Siberian"
"лорд","lord"
"иро́ния","irony"
