"козёл","Ziegenbock"
"глу́хо","taub, dumpf, stimmlos; abgelegen, still"
"ло́пнуть","platzen, bersten"
"тя́жкий","schwer, mühsam, qualvoll"
"пу́сто","leer"
"оборва́ть","abreißen, zerreißen; abbrechen; pflücken"
"поперёк","quer, quer über"
"гла́дить","bügeln; streicheln"
"бак","Behälter; Tank, Kanister"
"освободи́ться","sich befreien, loswerden, frei sein"
"поползти́","loskriechen, zu kriechen beginnen"
"во́семьдесят","achtzig"
"ме́тод","Methode, Verfahren"
"бесшу́мно","geräuschlos, lautlos"
"мяч","Ball"
"ни́щий","bettelarm, bitterarm"
"скрипе́ть","knarren, knirschen; quietschen"
"тра́сса","Trasse, Bahn, Strecke"
"вплоть","bis; ganz dicht, ganz nah"
"отвезти́","abtransportieren; wegbringen, fortbringen, hinfahren"
"грамм","Gramm"
"торжество́","Feier, ; Fest, ; Triumph, Sieg, Jubel"
"сво́йственный","eigen, eigenschaftlich, eigentümlich, innewohnend, charakteristisch"
"пресле́довать","verfolgen; nachstellen, nachjagen"
"ку́пол","Kuppel"
"мрак","Dunkelheit, Dunkel, ; Finsternis"
"подсказа́ть","vorsagen, soufflieren, zuflüstern; auf einen Gedanken bringen"
"хребе́т","Rücken, (Rück)grat, (Gebirgs)rücken"
"шестна́дцать","sechzehn"
"обяза́тельный","verbindlich, Pflicht-, obligatorisch; verpflichtend"
"проявля́ться","sich zeigen, sich äußern, zutage treten"
"идеоло́гия","Ideologie"
"выдаю́щийся","hervorragend, herausragend; außergewöhnlich"
"изда́ть","herausgeben, veröffentlichen, verlegen, erlassen; von sich geben, ausstoßen, ausströmen"
"узнава́ть","erkennen, wiedererkennen; erfahren, in Erfahrung bringen, sich erkundigen nach; kennenlernen"
"угрожа́ть","drohen; gefährden; androhen"
"ребро́","Rippe; Kante, Rand, Grat"
"кома́ндующий","Befehlshaber"
"повсю́ду","überall"
"зале́зть","hineinklettern, hineinkriechen, reinkommen, eindringen; hinaufklettern, hochklettern, klettern; sich verkriechen"
"рели́гия","Religion"
"ба́тюшка","Väterchen; orthodoxer Geistlicher"
"разма́хивать","schwingen, schwenken"
"преодоле́ть","überwinden, überwältigen; bewältigen; überwinden"
"основа́ть","gründen, begründen, stiften"
"улете́ть","fortfliegen, wegfliegen, fliegen, abfliegen"
"пара́дный","Parade-, Gala-; Fest-, festlich; Haupt-"
"упира́ться","sich stemmen, sich stützen, sich sträuben, stoßen; stoßen, geraten; sich sträuben, sich weigern; an etwas grenzen"
"артилле́рия","Artillerie"
"труди́ться","arbeiten, ; sich bemühen, sich Mühe geben"
"поспеши́ть","sich beeilen"
"пехо́та","Infanterie, Fußvolk"
"поп","Pope; Pop, Popkultur"
"вылеза́ть","herauskriechen; ausfallen, ausgehen; herausplatzen, unpassend bemerken"
"урони́ть","fallen lassen"
"победи́тель","Sieger; Gewinner"
"води́ться","verkehren, Umgang haben; vorkommen, sich aufhalten; üblich sein"
"вы́глянуть","hinaussehen, hinauslehnen, hinausschauen, blicken, hervortreten, hervorschauen"
"э́моциональный","emotional"
"уговори́ть","überreden, zureden"
"спры́гнуть","herunterspringen, hinabspringen"
"платфо́рма","Bahnsteig; Haltepunkt; Plattform"
"матч","Match, Wettkampf, Spiel, "
"ржа́вый","rostig"
"эмо́ция","Emotion"
"дру́жно","einmütig, einträchtig, freundlich; gemeinsam"
"паца́н","Bursche, Bengel, Lausejunge; Kerl, Spitzbube, Bürschchen, Lümmel"
"ворова́ть","stehlen, klauen"
"убежде́ние","Anschauung, Ansicht; Überzeugung, Überreden, Überzeugen"
"оконча́тельный","endgültig"
"обры́в","Abhang, Steilhang, Klippe; Abriss, Abreißen, Bruch"
"плёнка","dünne Schicht, Häutchen, Membran; Beschichtung, Belag; Folie, Film, flexibles beschichtetes Band"
"изнутри́","von innen, von der Mitte, aus den Tiefen von etwas"
"поса́дка","Pflanzen, Setzen; Landung; Einsteigen, Einschiffen"
"невыноси́мый","unerträglich; unausstehlich"
"блокно́т","Notizblock, Schreibblock"
"разбо́йник","Räuber"
"откли́кнуться","antworten, erwidern, sich äußern; reagieren"
"обита́тель","Bewohner"
"расходи́ться","auseinandergehen, sich trennen, sich scheiden lassen; sich zerstreuen, auseinanderlaufen, divergieren"
"чёткий","deutlich, klar; scharf"
"сверка́ющий","blitzend; funkelnd, glitzernd"
"моти́в","Motiv, Beweggrund, Melodie"
"сооруже́ние","Anlage; Bauwerk, Gebäude, Struktur; Errichtung"
"одина́ково","gleichermaßen, ebenso"
"уничтоже́ние","Vernichtung, Ausrottung, Zerstörung, Beseitigung, Abschaffung"
"по́лость","Höhle; Hohlraum"
"наскво́зь","hindurch; durch und durch"
"расспра́шивать","befragen, ausfragen, "
"удали́ться","sich entfernen, sich zurückziehen, fortgehen"
"у́личный","Straßen-"
"выводи́ть","herausführen, wegführen; entfernen, beseitigen, vertilgen"
"вы́водить","einen Fisch aus dem Wasser ziehen; zu verschiedenen Orten führen"
"рассле́дование","Untersuchung, Ermittlung; Nachforschung, Nachverfolgung"
"ни́тка","Faden"
"подави́ть","unterdrücken, niederschlagen; niederdrücken, drücken, erdrücken, abwürgen"
"сопротивля́ться","sich widersetzen, widerstehen, sich auflehnen, sich sträuben"
"младе́нец","Säugling, Kleinkind; Baby"
"подчиня́ться","sich unterordnen, sich fügen; sich unterwerfen"
"постоя́ть","eine Zeitlang stehen; einstehen"
"рези́новый","Gummi-"
"фигу́рка","Figürchen"
"тре́звый","nüchtern, abstinent; vernünftig, nüchtern"
"образо́ванный","gebildet; herausgebildet"
"помо́рщиться","das Gesicht verziehen; Falten werfen"
"драгоце́нный","kostbar, edel; wertvoll"
"игро́к","Spieler"
"коза́","Ziege"
"поиска́ть","suchen"
"интона́ция","Intonation, Tonfall"
"кача́ться","schaukeln, schwanken, wippen; schwingen, pendeln; die Muskeln trainieren, Gewichte heben"
"поро́да","Rasse, Gattung; Art; Abstammung, Geschlecht"
"ло́зунг","Losung, Parole, Devise, Spruchband"
"уступа́ть","überlassen, zugestehen; nachgeben, nachlassen; nachstehen"
"профессиона́л","Profi, Fachmann"
"сотру́дничество","Zusammenarbeit, Mitarbeit, Mitwirkung, Partnerschaft"
"темп","Tempo"
"обеща́ние","Versprechen"
"презира́ть","verachten; gering schätzen, missachten"
"перево́дчик","Übersetzer, Dolmetscher"
"занаве́ска","Vorhang; Gardine"
"жа́дно","gierig; geizig"
"соглаше́ние","Abmachung, Übereinkommen, Vereinbarung, Einverständnis, Abkommen"
"дави́ть","drücken, Druck ausüben; pressen, auspressen, ausquetschen; zerdrücken, zerquetschen, überfahren, erwürgen"
"печа́ль","Trauer, Kummer, Gram"
"тюре́мный","Gefängnis-"
"нева́жно","egal, es ist egal, das macht nichts aus; unwichtig, es hat keine Bedeutung"
"вы́резать","ausschneiden, herausschneiden, herausoperieren; schnitzen, ausstanzen, einmeißeln; abschlachten, niedermetzeln"
"выреза́ть","ausschneiden, herausschneiden, herausoperieren; schnitzen, ausstanzen, einmeißeln; abschlachten, niedermetzeln"
"зна́ющий","wissend, kundig, erfahren"
"вы́пуск","Ausstoß, Emmision; Ausgabe; Abgang, Abschlussjahrgang; Herauslassen, Auslassen; Ausstrahlung, Folge"
"незнако́мец","Fremder; Unbekannter"
"гром","Donner"
"ука́занный","angegeben, angeführt"
"формирова́ние","Formation, Formierung (Bildung), Herausbildung, "
"недоста́точно","ungenügend, unzureichend, nicht hinreichend"
"изде́лие","Erzeugnis, Produkt, Ware, Arbeitsgut"
"казнь","Hinrichtung"
"ме́стность","Ort, Gegend, Örtlichkeit; Landschaft, Gelände; Gebiet, Region"
"невро́з","Neurose"
"проще́ние","Verzeihung; Vergebung"
"подчёркивать","unterstreichen, betonen, hervorheben"
"запе́ть","anfangen zu singen, ein Lied anstimmen"
"пока́чиваться","wanken, schwanken, taumeln; schaukeln"
"кро́шечный","winzig, winzig klein"
"висо́к","Schläfe"
"ба́нда","Bande, Horde"
"хо́хот","Gelächter, (lautes) Lachen"
"рассужде́ние","Überlegung, Erwägung; Gedankengang, Schlußfolgerung"
"избежа́ть","meiden, vermeiden; vermeiden; aus dem Weg gehen, ausweichen, entgehen, entrinnen"
"транше́я","Laufgraben, Deckungsgraben; Grabensenke, Einschnittsgraben"
"подбежа́ть","herbeilaufen, zulaufen"
"выта́скивать","herausziehen, herausholen, herausbekommen"
"отврати́тельный","abscheulich, widerlich, grässlich; ekelhaft, schauderhaft"
"кружи́ться","sich drehen, kreisen, wirbeln; sich umherbewegen, herumirren"
"холл","Halle, Empfangshalle"
"го́рдо","stolz"
"чи́стить","reinigen, säubern; schälen, putzen"
"мунди́р","Montur, Uniform, Dienstkleidung"
"голу́бчик","Täuberich, Täubchen, Liebster, Liebling, Schätzchen"
"запусти́ть","starten, in Gang setzen; einlassen, durchlassen; vernachlässigen"
"нея́сный","unklar; undeutlich, diffus"
"упо́рно","hartnäckig, beharrlich"
"ку́кла","Puppe"
"бессмы́сленный","sinnlos; unsinnig, blödsinnig"
"впра́во","nach rechts"
"констру́кция","Konstruktion, Aufbau, Bauart, Bau"
"наи́вный","naiv"
"печа́тать","drucken; tippen, maschineschreiben"
"вы́ложить","auslegen, ausbreiten; herauslegen, herausnehmen"
"скла́дываться","sich herausbilden; entstehen"
"распространи́ть","verbreiten; ausdehen, ausweiten"
"капитали́зм","Kapitalismus"
"произво́дственный","Fertigungs-, Produktions-, Herstellungs-; betrieblich, Betriebs-"
"ве́ко","das Augenlid"
"корпора́ция","Korporation, Körperschaft"
"тьфу","äks, pfui"
"то́щий","dürr, mager, hager"
"теку́щий","laufend, gegenwärtig, aktuell; fließend; regelmäßig"
"поруче́ние","Auftrag, Beauftragung"
"проте́ст","Protest"
"бара́н","Hammel"
"кли́чка","Spitzname, Beiname; Pseudonym, Deckname, Alias"
"пого́н","Schulterstück, Schulterklappe"
"пото́мок","Nachkomme, Nachfahre"
"лу́нный","Mond-; lunar"
"сде́рживать","zurückhalten, unterdrücken; zügeln, bezähmen, beherrschen; halten, festhalten"
"толка́ть","stoßen, drängen, schieben, schubsen; anspornen, anstacheln"
"бассе́йн","Schwimmbad; Becken, Bassin"
"пребыва́ть","sich befinden; verweilen, verharren"
"по́просту","einfach, ohne Umstände"
"уде́рживать","halten, festhalten; zurückhalten, unterdrücken; zurückbehalten, behalten, abziehen"
"поря́дочный","anständig, ehrenhaft, rechtschaffen, ehrlich, gehörig; ziemlich groß - beträchtlich"
"уво́лить","entlassen, kündigen"
"пе́чень","Leber"
"мосто́вый","Brücken-; achsig, Achsen-"
"пода́ться","nachgeben, weichen, verrücken, versetzt werden; sich begeben, aufbrechen, sich aufmachen"
"непривы́чный","ungewohnt, ungewöhnlich, nicht gewohnt"
"защи́тник","Beschützer, Schützer, Fürsprecher; Verteidiger, Verfechter, Abwehrspieler"
"обеспе́чение","Ausstattung, Ausrüstung; Versorgung, Fürsorge, Deckung; Sicherstellung, Sicherung"
"потерпе́ть","dulden, tolerieren, sich gedulden, geduldig sein; ertragen, erleiden, leiden"
"заслу́га","Verdienst, Meriten"
"отвраще́ние","Abscheu, Ekel; Abneigung, Widerwille"
"прислу́шаться","hinhören, zuhören; lauschen, horchen"
"суде́бный","gerichtlich, Gerichts-, Rechts-"
"строи́тель","Bauarbeiter; Erbauer, Schöpfer"
"ось","Achse; OS"
"уста́ло","müde, ermüdet"
"приобрета́ть","erwerben, gewinnen, finden, annehmen, bekommen"
"стон","Stöhnen, Gestöhne"
"пёстрый","bunt"
"земля́нка","Erdhütte, Unterstand"
"спохвати́ться","sich besinnen, plötzlich bemerken, plötzlich einfallen"
"идеа́льный","ideal, perfekt"
"хиру́рг","Chirurg"
"равноду́шный","gleichgültig, uninteressiert, desinteressiert, teilnahmslos"
"сексуа́льный","sexuell, Sexual-, sexy"
"устано́вленный","installiert, montiert, eingerichtet; festgelegt, festgesetzt, bestimmt"
"пригоди́ться","sich eignen, geeignet sein, taugen, zu gebrauchen sein; nützlich sein, hilfreich sein"
"моло́денький","blutjung, sehr jung"
"те́сно","eng"
"рельс","Schiene"
"изуче́ние","Erlernen, Erforschung; Studium"
"призы́в","Aufruf, Ruf, Aufforderung; Einberufung"
"вспы́хивать","aufflammen, auflodern, ausbrechen, entbrennen; aufblitzen, ; erglühen, erröten"
"объедини́ть","vereinen, verbinden, vereinigen, zusammenfassen"
"быт","Alltag, Alltagsleben, Lebensweise, Lebensformen, Lebensbedingungen"
"рожда́ться","geboren werden"
"отдалённый","entfernt, fern, entlegen"
"сорт","Sorte, Art; Güteklasse, Kategorie"
"пласти́нка","Platte, Scheibe"
"брю́хо","Bauch; Wanst"
"впра́вду","wirklich, tatsächlich"
"стоя́нка","Parkplatz, Standplatz, Liegeplatz, Rastplatz"
"правле́ние","das Regieren, Herrschaft, Regentschaft; Vorstand, Verwaltungsrat, Management, Direktorium"
"па́даль","Aas, Kadaver; Bastard; Fallobst"
"испу́г","Schreck"
"увели́чить","vergrößern, vermehren, erweitern; erhöhen, steigern"
"брита́нский","britisch"
"бу́дка","Bude, Häuschen; Hundehütte"
"постановле́ние","Beschluß, Resolution, Verordnung"
"Рим","Rom"
"опуска́ть","senken, herablassen; herunterlassen, fallenlassen; einwerfen"
"издалёка","von weitem, aus der Ferne"
"жиле́ц","Bewohner, Anwohner, Einwohner, Insasse; Mieter, Untermieter"
"обсужде́ние","Besprechung, ; Diskussion, Erörterung, "
"до́рого","teuer"
"заря́","Morgenrot, Morgenröte, Abendrot, Abendröte; Zapfenstreich"
"разрабо́тка","Ausarbeitung; Erarbeitung, Entwicklung"
"отправля́ть","schicken, senden, aufgeben, abfertigen"
"ка́сса","Kasse, Schalter, Zahlbox"
"уступи́ть","überlassen, zugestehen; nachgeben, nachlassen; nachstehen"
"впрямь","tatsächlich, in der Tat, wirklich"
"кипе́ть","kochen, brodeln, sieden, aufwallen"
"ца́рство","Zarenreich, Königreich; Reich"
"поплы́ть","schwimmen, fahren, segeln; losschwimmen; treiben"
"ворва́ться","eindringen, hineinstürmen, einbrechen; hineinplatzen"
"ничу́ть","gar nicht, durchaus nicht, keineswegs"
"создава́ться","entstehen; sich herausbilden"
"табле́тка","Tablette; Tablet"
"изложи́ть","darlegen, vorbringen"
"сейф","Safe, Panzerschrank, Tresor, Geldschrank"
"нагру́зка","Belastung, Auslastung, Last"
"горожа́нин","Städter, Stadtbewohner"
"го́речь","Bitterkeit, Bitternis; bitterer Geschmack"
"ри́мский","römisch"
"пейза́ж","Landschaft, Landschaftsbild"
"посети́ть","besuchen, aufsuchen"
"студе́нческий","Studenten-, ; studentisch"
"почётный","ehrenvoll, ehrenhaft, Ehren-"
"шу́мно","laut"
"секрета́рша","Sekretärin"
"толчо́к","Stoß, Ruck, Schub; Anstoß, Abstoß; Erdstoß, Erschütterung"
"замёрзнуть","gefrieren, zufrieren, frieren; erfrieren"
"визг","Gekreisch, Quietschen, Gewinsel"
"прохла́дный","kühl, frisch"
"а́томный","Atom-, atomar"
"суще́ственный","wesentlich, bedeutend, relevant"
"дыми́ться","rauchen, dampfen, qualmen"
"соедине́ние","Verbindung; Vereinigung; Verbund, Bund"
"заявля́ть","erklären, kundgeben; melden"
"млрд","Milliarde"
"различа́ть","unterscheiden, auseinanderhalten"
"внима́тельный","aufmerksam; achtsam, rücksichtsvoll, zuvorkommend"
"се́мя","Same; Sperma"
"осёл","Esel"
"дели́ть","teilen, aufteilen, einteilen, verteilen, dividieren, unterteilen"
"сли́зистый","schleimig, Schleim-"
"изучи́ть","erlernen, sich aneignen; studieren, erforschen, untersuchen"
"похорони́ть","beerdigen, begraben"
"отрица́тельный","negativ; verneinend"
"багро́вый","purpurrot, flammendrot"
"се́тка","Netz, Einkaufsnetz; Gitter, Gitternetz"
"ло́жный","falsch, Fehl-; unwahr, erlogen, Trug-"
"подразделе́ние","Unterteilung, Untergliederung, Gliederung; Unterabteilung, Einheit, Abteilung"
"контра́кт","Kontrakt, Vertrag"
"уста́в","Satzung, Statut, Charta; Ordnung"
"равнове́сие","Gleichgewicht, Parität"
"том","Band; logisches Laufwerk, Volumen"
"пруд","Teich; Weiher"
"плоть","Fleisch; fleischliche Hülle"
"употребля́ть","gebrauchen, benutzen, ; verwenden, anwenden; verbrauchen"
"дымо́к","Rauchwölkchen, Rauchfahne"
"снисходи́тельный","nachsichtig, herablassend, mild, geduldig"
"самоуби́йство","Selbstmord, Suizid"
"посо́л","Botschafter"
"прови́нция","Provinz"
"грань","Rand, Kante; Facette, Fläche"
"поздоро́ваться","grüßen, begrüßen"
"публика́ция","Publikation, Verröffentlichung"
"шу́мный","laut, lärmend"
"кома́р","Mücke"
"купе́ц","Kaufmann"
"о́фис","Büro"
"фо́кус","Fokus, Brennpunkt, Schwerpunkt; Kunststück, Trick, Kniff; Herd"
"вы́кинуть","hinauswerfen, auswerfen, wegwerfen; austreiben; hissen"
"разря́д","Klasse, Kategorie, Rang; Entladung"
"гоня́ть","antreiben, scheuchen; jagen, hetzen, rasen; laufen, gehen"
"тре́щина","Riss, Sprung; Spalt, Ritze"
"бытие́","Sein; Dasein, "
"Кавка́з","Kaukasus"
"изя́щный","fein, elegant; zierlich, graziös"
"кастрю́ля","Kochtopf, Topf, Kaserolle"
"нагну́ться","sich beugen, sich bücken"
"му́дрость","Weisheit"
"ве́домство","Behörde; Amt, Dienststelle"
"тро́нуться","sich in Bewegung setzen, sich bewegen, sich rühren; gerührt sein; einen Stich haben, verückt sein"
"за́росль","Dickicht, Gestrüpp"
"щено́к","Welpe, junger Hund, Hündchen; Grünschnabel"
"табли́ца","Tabelle, Liste; Tafel"
"людско́й","Menschen-, menschlich, menschenwürdig"
"вплотну́ю","dicht, nahe; fest, hart"
"содержа́ться","enthalten, enthalten sein, beinhalten, umfassen; finanzieren, unterhalten"
"сбега́ть","fliehen, entlaufen, davonlaufen, weglaufen; herunterlaufen, herunterkommen"
"сбе́гать","irgendwo hinlaufen"
"презре́ние","Verachtung, Missachtung; Geringschätzung, herabschauende Behandlung"
"болта́ться","herunterhängen, baumeln; herumhängen, sich herumtreiben, herumlungern, herumgammeln"
"пошути́ть","scherzen, einen Witz machen"
"твори́ть","schöpfen, erschaffen, erzeugen, kreieren"
"гусь","Gans"
"краса́вец","schöner Kerl, Prachstück"
"делега́ция","Delegation, Abordnung"
"вы́раженный","ausgedrückt, ausgesprochen; ausgeprägt"
"подро́бный","ausführlich, eingehend; detailliert"
"чуда́к","wunderlicher Kerl, Exzentriker, Sonderling, Eigenbrötler"
"повторя́ться","sich wiederholen"
"до́за","Dosis, Dosierung"
"взлете́ть","auffliegen, aufsteigen, abheben"
"экспе́рт","Experte, Sachverständiger"
"сантиме́тр","Zentimeter; Bandmaß, Metermaß"
"убира́ть","aufräumen, wegräumen, Ordnung machen, abräumen, säubern, ablegen, abstellen; entfernen, wegbringen; ernten"
"трибу́на","Tribüne"
"застря́ть","steckenbleiben; hängenbleiben"
"делови́тый","sachlich, ; geschäftstüchtig, geschäftig, geschäftsfähig"
"напа́сть","herfallen, angreifen, überfallen; befallen, heimsuchen, überkommen"
"ветеро́к","Brise, Wind, Lüftchen"
"констру́ктор","Konstrukteur"
"пляса́ть","herumtanzen, tänzeln, herumspringen"
"вы́разиться","sich ausdrücken; sich äußern, zum Ausdruck kommen, sich zeigen; betragen, belaufen"
"акти́вно","aktiv, tätig"
"вле́во","nach links"
"стоп","Stop!"
"Пи́тер","Piter (Sankt Petersburg); Peter"
"лиши́ть","entziehen, aberkennen; nehmen, rauben"
"не́вский","Newski"
"ска́терть","Tischdecke, Tischtuch"
"скуча́ть","sich langweilen, Langeweile haben; vermissen, sich sehnen"
"боково́й","seitlich, Seiten-"
"опо́мниться","sich besinnen, sich fassen, zur Vernunft kommen, Vernunft annehmen; das Bewusstsein wiedererlangen"
"о́бувь","Schuhe, Schuhwerk"
"пробира́ться","sich durchschlängeln, durchdrängen, eindringen; sich durchschleichen, sich einschleichen"
"прису́тствующий","anwesend"
"теле́га","Wagen, Leiterwagen, Rollwagen Karren"
"областно́й","Gebiets-; regional, Regions-, lokal, Lokal-"
"вал","Welle, Walze, Woge; Wall, Damm; Bruttowert, Wertigkeit"
"прорва́ться","durchreißen; durchbrechen, aufbrechen"
"наткну́ться","aufprallen, stoßen"
"дневно́й","täglich, Tages-"
"скло́нный","geneigt, veranlagt, anfällig; geneigt sein"
"по́чка","Niere; Knospe"
"о́ко","Auge"
"ёлка","Fichte, Rottanne; Weihnachtsbaum, Christbaum, Tannenbaum; Jolkafest"
"офице́рский","Offiziers-"
"свали́ть","hinwerfen, kippen, abladen; alles hinwerfen, sich aus dem Staub machen, sich davonmachen sich fortmachen, abzwitschern; umwerfen, einen umhauen, niederstrecken, fällen, zu Fall bringen; abwälzen"
"скака́ть","hüpfen, springen; galoppieren"
"прибежа́ть","herbeilaufen, gelaufen kommen"
"парово́з","Dampflokomotive; Lokomotive, Lok"
"умоля́ть","anflehen, flehen"
"змей","Drache"
"рвану́ться","loseilen, losstürmen"
"проглоти́ть","verschlucken, herunterschlucken, schlucken; verschlingen"
"вручи́ть","aushändigen, übergeben, überreichen; anvertrauen"
"скользи́ть","rutschen, ins Rutschen kommen; gleiten, schlittern"
"па","Tanzschritt, Schritt; Pa"
"неизбе́жный","unvermeidlich; unausweichlich"
"мело́дия","Melodie"
"дава́ться","leichtfallen, gegeben sein; sich geben, fügen, aufgeben, nachgeben, sich ergeben"
"ура́","hurra, Hurra"
"переноси́ть","verschieben, verlegen, aufschieben, verschieben, übertragen; vertragen, ertragen, aushalten, erdulden, erleiden"
"расстро́йство","Störung, Ungleichgewicht, Durcheinander, Unordnung; Verstimmung, Missstimmung, innere Unruhe"
"объекти́вный","objektiv"
"про́звище","Spitzname; Beiname"
"номенклату́ра","Nomenklatur, Verzeichnis, Erzeugnisliste, ; Führungsriege, Führungsschicht"
"отстава́ть","zurückbleiben; ablassen, weg bleiben, in Ruhe lassen; weg sein, verschwinden, sich ablösen, abgehen"
"барье́р","Barriere, Schranke, Hürde"
"премье́р","Premier"
"плака́т","Plakat"
"вре́дный","schädlich, abträglich, ungesund; boshaft, zickig, fies"
"то́ня","Fischfangplatz, Angelplatz; Fischzug, Fang"
"вы́тянуться","sich ausstrecken, sich ausdehnen; sich erstrecken, sich hinziehen"
"снару́жи","außen, draußen, außerhalb, von außen"
"босо́й","barfüßig, nackt, bloß"
"санита́р","Krankenpfleger; Sanitäter"
"оре́х","Nuß, Nußbaum"
"обо́чина","Randbereich; Straßenrand, Wegesrand, Seitenstreifen, Randstreifen"
"райко́м","Kreiskomitee; Bezirkskomitee"
"сме́ло","kühn, tapfer, mutig, furchtlos, gewagt; sicher, problemlos"
"ката́ться","fahren, gleiten, rollen, reiten; spazierenfahren"
"превыша́ть","übertreffen, übersteigen, überschreiten, mißbrauchen"
"убега́ть","weglaufen, davonlaufen"
"сопровожда́ться","einhergehen mit, begleitet werden"
"угоди́ть","gefällig sein; es recht machen, es passend machen, zufriedenstellen; treffen"
"расстре́л","Erschießung, Erschießen, Tod durch Erschießen"
"распоряди́ться","verfügen; anweisen, veranlassen, anordnen"
"задра́ть","hochheben; zerreißen, in Stücke reißen; hänseln, foppen, mobben"
"навести́ть","besuchen, aufsuchen"
"огуре́ц","Gurke"
"перее́хать","umziehen, übersiedeln, woanders hingehen; überqueren, übersetzen, überfahren, hinübergehen, hinüberfahren"
"отмени́ть","absagen; rückgängig machen, stornieren, widerrufen, außer Kraft setzen, abschaffen, abbestellen"
"отмеча́ться","sich eintragen, sich einschreiben, sich registrieren; sich hervorheben, sich hervortun, sich herausheben; gefeiert werden"
"удо́бно","bequem, günstig, geeignet, passend, angebracht, schicklich"
"во́инский","Militär-, Wehr-, ; militärisch"
"самостоя́тельно","selbständig, unabhängig, souverän"
"зарасти́","zuwachsen, verwildern; zuheilen, vernarben"
"моро́женый","erfroren; tiefgefroren"
"усме́шка","Lächeln"
"валю́та","Valuta, Devisen; Währung"
"ту́го","fest, eng, straff; knapp; schwerfällig, schwergängig, steif"
"перегляну́ться","Blicke wechseln, Blicke tauschen"
"прави́тельственный","Regierungs-; staatlich, regierungsamtlich"
"определя́ться","bestimmen, bestimmt werden, festsetzen; festlegen, definieren"
"вера́нда","Veranda"
"обло́мок","Brocken; Bruchstück"
"рассерди́ться","sich ärgern, böse werden"
"ку́рица","Huhn, Henne"
"прида́ть","zugeben, hinzufügen, einflößen; beimessen, beigeben"
"пе́на","Schaum"
"преда́тель","Verräter"
"крестья́нский","bäuerlich; Bauern-, "
"пожи́ть","leben, eine bestimmte Zeit verbringen"
"зво́нкий","klangvoll, stimmhaft; hell, klingend, hoch"
"проника́ть","eindringen, vordringen; durchdringen"
"доста́точный","ausreichend, genug, genügend; hinlänglich, hinreichend"
"вы́сунуться","sich hinauslehnen, sich herauslehnen"
"ды́рка","Loch, Einstichstelle, Guckloch, Öse, Leerstelle, Lücke, Durchschuss; Hure, Weibsbild; Scheide, Vagina"
"факульте́т","Fakultät"
"тропа́","Pfad, Fußweg"
"ручно́й","Hand-; von Hand, manuell; zahm, gezähmt"
"па́ника","Panik"
"винова́то","schuldig, schuldbewusst"
"связа́ться","in Verbindung treten, sich in Verbindung setzen, eine Verbindung herstellen; kontaktieren"
"торго́вец","Händler"
"натяну́ть","anspannen, straff ziehen"
"ша́рик","Kügelchen, Bällchen; Ballon, Luftballon"
"предчу́вствие","Vorahnung, Vorgefühl"
"вопреки́","trotz; entgegen, gegen, wider, zuwider"
"фальши́вый","falsch, unaufrichtig, heuchlerisch; gefälscht, unecht"
"избега́ть","meiden, vermeiden; aus dem Weg gehen, ausweichen, scheuen"
"избе́гать","herumlaufen, ablaufen, abklappern"
"копьё","Speer, Lanze"
"перестро́йка","Perestroika; Umbau, Umgestaltung, Rekonstruktion, Reorganisation, Umstellung"
"оде́ться","sich anziehen, sich kleiden"
"моло́чный","Milch-"
"введе́ние","Einleitung; Einführung"
"диплома́т","Diplomat"
"пе́рец","Pfeffer; Paprika, Peperoni, Peperoncini; Lümmel, Kerl, Bengel, Pullermann"
"твори́ться","geschehen, passieren, vor sich gehen"
"гроза́","Gewitter"
"сравни́тельно","vergleichsweise; verhältnismäßig"
"индивидуа́льный","individuell, persönlich, Einzel-, Selbst-"
"воню́чий","stinkend"
"бли́жний","nahe"
"траги́ческий","tragisch"
"интеллектуа́льный","intellektuell, intelligent"
"мину́тка","Minütchen, Moment, Augenblick"
"возбужде́ние","Erregung, Aufregung"
"отста́вка","Ruhestand, außer Dienst; Abschied, Verabschiedung; Rücktritt, Demission"
"бро́нзовый","bronzefarben, bronzen, ; Bronze-"
"случа́йность","Zufall, Zufälligkeit"
"жи́во","lebend; lebendig, ebhaft, flink"
"заве́дующий","Leiter, Vorsteher; Manager"
"кпсс","KPdSU"
"наста́ть","anbrechen, hereinbrechen; beginnen, kommen, werden; eintreten"
"пра́ктик","der Praktiker"
"вы́езд","Ausfahrt, Abfahrt; Ausreise"
"са́ло","Fett, Talg, Schmalz; Speck"
"прика́зывать","befehlen, anordnen, lassen"
"нараста́ть","anwachsen, steigen, zunehmen, sich verstärken"
"ма́лость","Kleinigkeit, Winzigkeit"
"инсти́нкт","Instinkt, Trieb"
"объявля́ть","verkünden, offiziell erklären; bekanntgeben, ankündigen, mitteilen"
"налива́ть","eingießen, einschenken"
"сомни́тельный","zweifelhaft, fragwürdig, verdächtig, bedenklich"
"бето́нный","Beton-, aus Beton"
"ка́тер","Kutter, Motorboot"
"съе́здить","hinfahren, fahren, hinreisen, reisen, einen Abstecher machen"
"северо","Nord-"
"пятьсо́т","fünfhundert"
"прогно́з","Prognose; Vorhersage"
"дежу́рить","Dienst haben, Dienst tun"
"попроща́ться","sich verabschieden, Abschied nehmen, Lebewohl sagen"
"изумру́дный","smaragden, smaragdgrün; Smaragd-, "
