"козёл","male-goat, billy-goat; Asshole"
"п́ерец","pepper"
"твор́иться","happen; going on"
"гроз́а","thunderstorm"
"сравн́ительно","comparatively"
"индивиду́альный","individual"
"вон́ючий","smelly"
"бл́ижний","near, neighbouring, nearest, closest"
"траѓический","tragic adj"
"интеллекту́альный","intellectual"
"мин́утка","minute, moment"
"возбужд́ение","excitation, excitement, agitation, incitement"
"отст́авка","dismissal or resignation"
"бр́онзовый","bronzed, tanned"
"случ́айность","chance, fortuity, fortuitousness"
"ж́иво","vividly, strikingly, keenly, with animation, quick, promptly"
"зав́едующий","manager; head (boss, director)"
"кпсс","CPSU"
"наст́ать","for a time or event to arrive"
"пр́актик","practical worker, practical person"
"в́ыезд","a depature; the action of departing or leaving"
"с́ало","fat, suet, lard, tallow, thin broken ice"
"приќазывать","to order someone"
"нараст́ать","to build up/accrue"
"м́алость","trifle, somewhat, a bit"
"инст́инкт","instinct"
"объявл́ять","to declare"
"налив́ать","to pour or fill up; to pour onto something"
"сомн́ительный","questionable; doubtful"
"бет́онный","concrete"
"ќатер","boat that can be easily launched and landed"
"съ́ездить","to go (ride); trip, visit"
"северо","North"
"пятьс́от","five hundred"
"прогн́оз","forecast, prognosis"
"деж́урить","be on duty"
"попрощ́аться","to say goodbye"
"изумр́удный","emerald"
"пр́очный","durable, lasting, solid, firm, strong; sturdy"
"в́иски","whisky"
"фиол́етовый","violet, purple"
"маѓический","magic (adj)"
"механ́ический","mechanical, power-driver, automatic"
"с́ектор","sector, department"
"прихват́ить","grab or take"
"вин́овный","guilty"
"мёд","honey, mead"
"разм́ах","a swing/wingspan"
"непр́авда","untruth, falsehood, lie"
"возвращ́ать","return, give back, bring back, send back; repay, pay back, reimburse, refund; recover, get back, win back"
"пят́ок","heel, toe"
"посещ́ение","visit, attendance"
"попол́ам","half-and-half; in half (in two), "
"насм́ешливо","derisively"
"демонстр́ировать","demonstrate"
"аѓентство","agency"
"сл́ушатель","hearer, listener, student, audience, auditory"
"затян́уться","drag on; take a drag of ciggarette"
"ќодекс","code, codex"
"кос́а","hair braid, scythe"
"кос́а","scythe"
"удовлетвор́ить","to satisfy"
"аккур́атный","neat; accurate, exact in accordance with rules"
"соб́ор","cathedral, council, synod"
"толь","tar paper"
"восстановл́ение","restoration or recovery"
"чуд́овище","monster"
"прил́авок","counter"
"оправд́ать","justify, warrant, excuse; acquit, discharge"
"подел́иться","share"
"п́есенка","song, ditty"
"раздел́ять","divide, separate, part, split; share"
"сл́авка","songbird, warbler"
"восемн́адцать","eighteen"
"ст́алкер","stalker (persistant follower), unwanted follower, ; someone who is good in navigating off-limit places"
"́угрюмый","grumpy / moody, morose; gloomy"
"подавл́ять","suppress, repress, quell, put down, restrain, stifle, neutralize, depress, crush, overwhelm"
"в́ыгодный","advantageous, beneficial"
"т́опливо","fuel"
"убежд́ать","to convince or persuade"
"гл́ина","clay"
"огл́ядывать","to look over/examine/look all around something"
"почт́ительный","respectful, deferential, considerable"
"располаѓать","have, dispose, have available, intend, propose, set, gain, win over"
"уд́ачный","lucky/good/successful (adj)"
"объ́ятие","embrace/cuddle/hug"
"фон́арик","flashlight"
"муч́ительно","excruciatingly"
"п́азуха","bosom, sinus, axil"
"дор́ожный","(relational) road, ; (relational) travelling"
"обним́ать","to embrace, to hug"
"эшел́он","echelon, special train, troop train"
"ир","Ir river; Il, a part of the name Kim Il-sung"
"буд́ить","wake, awake, awaken, arouse, stir up"
"распахн́уться","swing open"
"обход́иться","do without без; cost; treat с; to turn out some way"
"сохран́ение","preservation"
"осуществ́ить","carry out, bring about, fulfil, accomplish, put into practice, implement; make something come true"
"исп́уганный","frightened, scared, startled"
"отќинуть","throw away, throw back"
"листв́а","foliage; leaves"
"разд́ел","section"
"ус́адьба","manor or estate"
"нед́аром","not for nothing, not without reason, not without purpose"
"зл́иться","to be angry"
"пр́опуск","skipping; permit/pass"
"аналоѓичный","analogous; similar"
"в́ыпрямиться","straighten up"
"газ́етный","newspaper"
"мыть","wash"
"обвин́ять","Blame"
"саж́ать","plant; put"
"мор́аль","moral, moral philosophy, ethics, morals"
"верт́еться","turn, revolve, spin, fidget, dodge, prevaricate, hover about"
"челов́ечек","little man"
"суст́ав","joint, articulation"
"н́ежность","tenderness delicacy gentleness"
"пораж́ать","strike/hit/affect"
"комсом́олец","member of the Komsomol, member of the Young Communist League, Young Communist Leaguer"
"пострад́ать","to be injured; to come to harm; to suffer"
"осложн́ение","complication"
"муч́ительный","excruciating"
"свящ́енный","sacred, holy"
"предприн́ять","to undertake"
"м́итинг","mass-meeting or rally"
"дрожь","tremble/shiver/tremor"
"мест́ечко","little place; small town; dimunitive of место"
"расс́ыпаться","to be scattered apart, scamper off, go to pieces, crumble, (colloquial) fawn upon"
"рассып́аться","spill, scatter, scamper off, go to pieces, crumble"
"прот́ивно","against; disgusting"
"л́енинский","Lenin"
"связ́ать","connect; to knit"
"кред́ит","credit; loan"
"кр́едит","credit"
"весть","news"
"стр́оиться","be built, build a house for oneself, draw up, build"
"б́абочка","butterfly, bow-tie, dicky-tie"
"сн́ятой","skimmed, skim; removed / taken (off), filmed"
"сосл́аться","to refer/quote, allude, cite, call to witness, plead, allege"
"ущ́елье","gorge, ravine, canyon"
"стро́ительный","building construction"
"в́ыбежать","run out"
"ветер́ан","veteran, old stager"
"ш́ахта","mineshaft"
"отодв́инуть","move aside; put off"
"разбир́ать","sort out, solucionar, make out, dar a entender, figure out, averiguar, understand; take apart, desmontar, take to pieces, desmontar, disassamble, dismantle, desmantelar"
"вс","Sunday; Supreme Soviet; Armed Forces; virtual connection"
"трев́ожно","anxiously"
"с́ытый","be satisfied; being full"
"бескон́ечно","infinitely, extremely, endlessly, without end, eternally"
"ноздр́я","nostril"
"в́идимость","visibility, outward appearances, semblance"
"пит́аться","eat (to feed on); nourish (refers to the ability to obtain and absorb substances necessary to maintain life)"
"свет́ило","a celestial body that emits light; someone who is famous in their field"
"вскрич́ать","exclaim"
"в́ыхватить","snatch out"
"потряс́ать","to shake; to shock (emotionally)"
"встр́ечный","oncoming (adj)"
"един́ица","unit, unity; one (numeral, grade), few (not many)"
"п́ышный","fluffy magnificent lush"
"развод́ить","breed; raise; take along, bring, conduct; part, move apart, pull, apart, separate; dissolve"
"звёздный","star, sidereal, starry, starlit, converging, stellar"
"тр́ижды","three times"
"сл́ожность","complicacy (complexity), complication; difficulty, sophistication"
"восп́итывать","raise bring up (kids)"
"беспл́атный","free, gratuitous, rent-free"
"вдов́а","widow"
"идеолоѓический","ideological"
"изл́ишний","unneccesary"
"п́ятеро","five"
"берёза","birch"
"в́аленок","felt boot"
"предвар́ительный","preliminary"
"поз́ор","shame; disgrace"
"фонт́ан","fountain"
"зат́ихнуть","to quiet; calm down"
"бес","demon, devil, tempter"
"оригин́альный","original"
"т́усклый","dim"
"п́епел","ash"
"цепл́яться","to cling to/to pick on"
"пр́израк","phantom, apparition, spook, ghost"
"восхищ́ение","admiration"
"б́урый","brown"
"возникнов́ение","origin, beginnings; emergence, onset, occurrence"
"стр́ажа","guard or watch; taken under arrest (expression)"
"паренёк","lad, boy, chap, bloke"
"предъяв́ить","show; present; produce"
"алкоѓоль","alcohol, spirit"
"ранг","class, rank"
"зл́ато","gold (outdated)"
"посещ́ать","visit"
"сион́истский","Zionist, Zionistic"
"просид́еть","to sit through"
"́ахнуть","gasp"
"удал́яться","to leave, to depart"
"поздравл́ять","congratulate"
"ч́уять","to sense, to feel; to smell, to scent"
"дёргать","to pull / tug / pull out, to pull about, to move sharply, to jerk, to twitch; to pull on someone's nerves, to pester, to disturb; (low colloquial) to drink, to knock one back"
"нам́еренный","intentional deliberate"
"горяч́о","hotly, with heat, warmly, with warmth"
"т́оненький","thin, slender, slim"
"уничтож́ать","destroy"
"со́юзник","ally, associate"
"ж́ивопись","painting, pictures, paintings"
"парл́амент","parliament"
"х́удший","(the) worst, worse; (most) inferior"
"см́углый","dark skinned"
"сем́ейство","family"
"негр","black person; помесь негра с мотоциклом  - absurd combination; литературный негр - ghost writer"
"разысќать","to look for (wanted)"
"п́очерк","handwriting"
"колл́екция","collection"
"мол́итва","Prayer"
"ритм","rhythm"
"ст́ая","a flock; a pack"
"блин","pancake; damn"
"расстав́аться","to part/leave/separate/break up"
"вн́ешне","outwardly in outward appearance"
"ишь","see!, (just) look!"
"загн́ать","to corner, trap"
"́Азия","Asia"
"перес́ечь","to move across/traverse across"
"подр́ужка","girlfriend"
"изр́аильский","Israeli"
"ср́очный","urgent, at a fixed date, fixed-date"
"пиан́истка","pianist"
"разв́од","divorce"
"кр́уто","super cool"
"огран́иченный","limited"
"смут́иться","be embarrassed"
"реализ́ация","realization, sale, realisation; Implementing"
"пр́обка","traffic; cork"
"м́иска","bowl, basin, tureen"
"пан","pan (sir), landowner"
"раздав́ить","crush, squash, overwhelm"
"юрид́ический","juridical, legal, juristic"
"пенсион́ер","pensioner"
"подводн́ой","underwater"
"утверд́ить","to claim, affirm, assert, maintain"
"ш́орох","rustle"
"горш́ок","pot"
"незнач́ительный","insignificant"
"неверо́ятно","it is incredible, it is inconceivable, it is beyond belief, incredibly, inconceivably"
"м́атушка","mother / mum (parent); mother (term of address)"
"верх́ушка","tip"
"национ́альность","nationality"
"тигр","tiger"
"скл́адка","fold"
"незав́исимо","independently"
"вполѓолоса","in an undertone, in a low voice"
"иќона","icon"
"заќанчиваться","come to an end close, end, finish"
"артиллер́ийский","artillery (adj)"
"распростран́ение","spreading, diffusion, dissemination"
"учёба","study, training, education"
"укр́асить","decorate, adorn, beautify, ornament"
"котёнок","kitten"
"спортсм́ен","athlete, sportsman"
"добыв́ать","to mine/extract from earth; to aquire through struggle work/hunt/war/etc"
"серебр́о","silver"
"осм́атривать","examine, survey, view, scan, see; inspect; to look around"
"контрол́ировать","control, check, enforce"
"полотн́о","canvas"
"пр́елесть","charm; delight; a beauty"
"всем́ирный","world's, worldwide, universal"
"всќинуть","to raise up (e.g. eyes, arms)"
"помч́аться","to dart rush dash off"
"прет́ензия","claim on something; complaint"
"сраж́ение","battle"
"шевел́ить","to move"
"конф́ета","sweet, bon-bon, sweetmeats, candy"
"растер́ять","Lose what you have (all or much); Gradually losing someone or something"
"рыв́ок","jerk, spurt, dash, burst"
"опроќинуть","to knock over"
"икр́а","caviar"
"посл́ушно",""
"погруз́ить","to submerge, to immerse, to plunge; to load"
"п́отный","sweaty, damp with perspiration"
"дрянь",""
"возврат́иться","return"
"категор́ически","categorically, flatly"
"недов́ольно","unhappy, displeased"
"адмир́ал","admiral"
"взорв́аться","burst, blow up, explode, fly into a rage"
"обхват́ить","wrap around or grip"
"распростран́яться","spread, enlarge, expatiate, dilate; to apply, pertain"
"лёгкость","lightness, ; ease /  easiness, "
"соч́увствие","sympathy"
"скот́ина","brute"
"вскр́икнуть","cry out"
"возглавл́ять","to lead, to head"
"окр́уга","neighbourhood"
"табур́етка","stool"
"Финл́яндия","Finland"
"показ́атель","index, showing, exponent; rate; indicators"
"овц́а","sheep"
"бессм́ысленно","senselessly, foolishly"
"отќинуться","to lean back; to get out, be released; to set aside"
"друж́ить","befriend, mantener amistad, ser amigos"
"акц́ент","accent, emphasis"
"вражд́ебный","hostile"
"зам́етка","Note"
"р́обко","shyly, timidly"
"отрыв́ать","tear off, tear away, rip off"
"т́умбочка","bedside-table, chest of drawers, nightstand"
"перебив́ать","interrupt"
"конц́епция","concept, conception, idea"
"увел́ичиваться","increase"
"гранди́озный","huge mighty grandiose grand immense vast"
"кид́ать","throw, cast, fling"
"матем́атика","mathematics"
"земл́як","fellow country-man"
"автомоб́ильный","automobile, automotive; car, motor-car"
"кр́аткий","brief, short, concise"
"воображ́ать","to imagine; to think of oneself as being higher than reality (used with о себе); to fancy yourself; imagine something that is not real"
"мерц́ать","to twinkle/to shimmer, glimmer, flicker"
"предупрежд́ение","warning"
"земл́янин","terrestrial being, earthling"
"раскал́ить","to heat up (metal)"
"сыр","cheese"
"микроф́он","microphone, mike"
"пол́яна","glade clearing or meadow"
"скользн́уть","slide"
"прит́ихнуть","to quiet down, hush, sing small, pipe down"
"поќойный","deceased, late; quiet, calm"
"назнач́ать","appoint; assign; prescribe"
"автомат́ически","automatically, independently"
"ф́ара","Headlight"
"р́инуться","to rush/dash/dart"
"особн́як","mansion, detached house"
"стор́онник","a follower of any views beliefs a person who stands on the side of someone something"
"угрож́ающий","threatening, menacing, alarming"
"хан","khan"
"нем́ой","dumb/mute"
"солд́атик","tin toy soldier"
"верст́а","Russian measure of length; (outdated) верстовой столб; (colloquial) about a man of very tall stature; at a great distance"
"кон́ечность","limbs"
"стан́ок","machine, tool; stand, (work)bench; box / stall (animal husbandry), station, stable"
"брезгл́ивый","squeamish"
"буќет","bouquet, posy, nosegay, bunch of flowers"
"заинтересов́ать","to interest"
"стр́ажник","police constable"
"тенд́енция","tendency; trend"
"сб́орный","assembled, collapsible, combined, rallying"
"адъют́ант","aide-de-camp, adjutant, aide"
"в́идение","vision, sight, the ability to see"
"вид́ение","ghost, phantom, apparition, specter, spirit"
"напуѓать","to frighten; to horrify"
"ском́андовать","give out an order, order, command"
"подозр́ительно","it is suspicious, suspiciously, with suspicion"
"р́ация","portable radio transmitter, walkie-talkie"
"в́яло","limply, listlessly, inertly"
"́искренний","sincere"
"гр́еческий","Greek, Grecian"
"милиц́ейский","Adjective of милиция"
"донест́и","to carry (as far as), to deliver; to report, announce, inform; to denounce; to inform (on/against), squeal on; to convey"
"плот","raft"
"прип́омнить","to recall/to remember; to get even, to revenge"
"р́едкость","rarity, curiosity, curio"
"съёмка","shooting (photo or video shoot)"
"разреш́ать","to allow/to permit; resolve, settle"
"нетерп́ение","impatience"
"схв́атка","skirmish (battle); contractions"
"закус́ить","bite; have a snack, eat, get a bite; keep one's mouth shut"
"м́агия","magic, sorcery"
"слюн́а","saliva"
"разлож́ить","lay out"
"ворч́ать","grumble, growl, snarl"
"чересч́ур","too; way over, too much"
"покат́иться","start rolling, roll"
"отраж́ать","to reflect"
"осуществл́ять","to realize, accomplish, fulfill, put into practice; to carry out, implement; exercise, in terms of rights or control"
"веро́ятность","likelihood, probability"
"наполов́ину","half; halfway"
"выним́ать","remove, take out, pull out, extract, draw"
"алл́ея","alley"
"норов́ить","to strive"
"сосредот́очить","concentrate, fix, focus"
"удостовер́ение","certification"
"отн́ыне","henceforth, henceforward, from now on"
"́ихний","their"
"откров́енный","frank (adj)"
"куст́арник","thicket of bushes; bush"
"дисципл́ина","discipline, branch of science"
"клок","tuft/shred/wisp/ torn shredded off piece of something"
"треть","one third"
"вз́яток","genitive plural of взятка; yield (from bees)"
"уд́ачно","successfully, well"
"оф́ормить","apply for; take out; book; to formalize, to register"
"нович́ок","beginner or novice"
"в́ыдумать","to make up"
"исполн́итель","performer"
"п́омниться","to be remembered"
"нырн́уть","dive"
"опр́авдываться","justify oneself, come true"
"́обморок","a faint"
"́Африка","Africa"
"т́ыкать","to poke, to stick, to jab; to point (at); to thou, to address so. informally"
"нехор́оший","bad; evil; haunted"
"пев́ец","singer"
"удивлённый","surprised, amazed, astonished"
"поѓоня","pursuit, chase, pursuers"
"гр́ебень","comb, tooth-comb, card, hackle, hatchel; crest"
"сол́ома","straw, thatch, haulm"
"незав́исимость","independence"
"пульт","desk, stand; remote control"
"фурѓон","van, estate car, caravan"
"Гр́узия","Georgia"
"ст́аренький","old"
"лил́овый","purple lilac violet"
"почт́овый","post, postal"
"перекрёсток","crossroads, crossing; Intersection"
"трещ́ать","to make a cracking sound"
"организ́атор","organizer"
"в́ыслать","to send out; to send back: to expel"
"м́ощность","power; capacity ( khả năng, năng xuất)"
"нам́естник","deputy, governor-general"
"станд́артный","standard"
"бл́изость","intimacy/closeness/proximity"
"фаш́истский","fascist (adj)"
"ќафедра","department or faculty of teachers; pulpit, rostrum, dais"
"рыч́аг","lever; leverage"
"террор́ист","terrorist"
"доставл́ять","deliver; give or procure"
"силу́эт","silhouette"
"смущ́енно","embarrassingly"
"оппоз́иция","opposition"
"оц́енивать","to value/to assess; to rate/to evaluate"
"проворч́ать","mutter, grumble"
"соревнов́ание","competition; form of activity struggle rivalry to achieve superiority"
"велич́айший","the greatest, supreme"
"наслажд́аться","enjoy"
"куп́е","compartment, couchette, roomette"
"сион́ист","Zionist"
"ассоци́ация","association"
"ч́уждый","strange alien or foreign"
"потащ́ить","to drag/to carry, pull, lug, wear, pinch, swipe, pilfer, filch"
"семн́адцать","seventeen"
"черд́ак","attic (roof storage, not converted), loft"
"вза́имный","mutual"
"поддав́аться","give in, yield, give way, fall"
"подст́авить","put, place, move up, put near, substitute, hold up, offer; to frame, set up; (figurative, colloquial) to expose, to leave vulnerable"
"з́апросто","(colloquial) Without ceremony without observing all the formalities in public life with ease"
"зрач́ок","pupil"
"поблагодар́ить","thank"
"сќука","boredom"
"зад́ерживаться","stay long, linger; be delayed"
"м́ужество","courage"
"в́ежливый","polite"
"всевозм́ожный","every possible"
"беспол́езно","it is useless, it is no good, it is of no use, uselessly"
"вм́ешиваться","interfere or step in"
"саз́ан","carp (fish)"
"́остро","sharply, sharp, keenly"
"люб́овник","lover"
"с́ани","sleigh"
"́избранный","select, the elite"
"помест́ить","to place, put, locate, set, bestow; to invest; to insert, publish; to lodge, put up, accommodate"
"разв́алина","wreck, ruin"
"обр́ушиться","collapse, befall. assail; descend"
"с́отник","centurion"
"психол́огия","psychology"
"разл́ичие","difference (between)"
"овлад́еть","to take possession of; to master"
"кол́яска","wheelchair, baby stroller"
"чемпи́он","champion, title-holder"
"т́упик","puffin"
"туп́ик","dead end"
"утон́уть","to drown"
"м́ыслить","to think (in a poetic sense); to ponder/to contemplate"
"ќура","chicken; chicken meat"
"акт́ивность","activity"
"п́олзать","to crawl"
"аудит́ория","auditorium, lecture-hall, lecture-room, audience; audience"
"посел́иться","to settle somewhere/to live"
"композ́итор","composer"
"напад́ать","to attack"
"нап́адать","attack, assault, come, fall"
"бытов́ой","everyday ordinary household (adj)"
"лав́ина","avalanche, snow-slip"
"шёлковый","silk, silken"
"грусть","melancholy / sadness, sorrow"
"приподн́яться","to get up/ to sit up"
"даб́а","daba -> Chinese woven fabric (made from paper or cotton)"
"заверш́ить","complete"
"держ́ава","(world) power, state, orb"
"чушь","nonsense, rubbish"
"мат","checkmate, mate (chess); mat, floor-mat; matte (finish), frost (glass); foul language, swearing"
"побл́изости","nearby"
"ля","The musical note A"
"с́удорожно","spasmodically"
"Кан́ада","Canada"
"тр́енер","trainer, coach"
"́овощ","vegetable"
"входн́ой","entrance"
"налож́ить","to put on, lay, apply sthg. to, overlay, impose, cast"
"помах́ать","wave"
"комсом́ол","Young Communist League"
"цикл","cycle, series"
"справедл́иво","fair, right, correct"
"парн́ишка","lad, boy"
"выбр́асывать","throw away; release; to emit, to eject"
"компь́ютерный","computer, software"
"ст́иснуть","to bite/clench"
"пр́еданный","devoted; betrayed"
"сл́едственный","investigation, investigatory"
"тверд́ить","reiterate"
"медсестр́а","nurse"
"сд́аться","give up"
"навод́ить","to direct; наводить поярдок/страх/мосты; build; наводить тень на плетень"
"экземпл́яр","copy, specimen"
"пл́авно","smoothly (in a smooth manner)"
"солёный","salt"
"заќанчивать","finish, end"
"снест́и","demolish; knock down; tear down; to lay (eggs); to endure, put up with"
"́язва","ulcer, sore, evil, pest, viper"
"плен́а","skin / (thin) film; Surface defects of castings (oxide spots, surficial casting inhomogeneities)"
"постр́ойка","a construction"
"ныть","to whine, whimper, complain moan"
"руб́ить","to chop; to cut; to split"
"сиб́ирский","Siberian"
"лорд","lord"
"ир́ония","irony"
